technology,group,parameters,technology-entry,description
prod_low_lim_COEL,removed,,0,INDC Policy constraint
prod_low_lim_GAEL,removed,,0,INDC Policy constraint
prod_low_lim_GEEL,removed,,0,INDC Policy constraint
prod_low_lim_HYEL,removed,,0,INDC Policy constraint
prod_low_lim_NUEL,removed,,0,INDC Policy constraint
prod_low_lim_OIEL,removed,,0,INDC Policy constraint
prod_low_lim_SOEL,removed,,0,INDC Policy constraint
prod_low_lim_WIEL,removed,,0,INDC Policy constraint
res_japan_limit,fossil resources,"activity, upper",1,limit on renewable resource use of Japan in PAO region
res_marg,renewable formulation,"activity, new_capacity, total_capacity",3,electricity systems integration - reserve margin
share_low_lim_NFEG,,,0,removed
share_low_lim_NFPE,,,0,removed
share_low_lim_PEGas,,,0,removed
share_low_lim_REEG,removed,,0,
share_low_lim_REFE,removed,,0,
share_low_lim_REPE,removed,,0,
sm1_ppl_res,,"total_capacity, lower, upper",1,renewable formulation
sm3_ppl_res,,"total_capacity, lower, upper",1,renewable formulation
solar_csp_pot,renewable formulation,"activity, upper",1,CSP resource potential category
solar_csp_pot1,renewable formulation,"activity, upper",1,CSP resource potential category
solar_csp_pot2,renewable formulation,"activity, upper",1,CSP resource potential category
solar_csp_pot3,renewable formulation,"activity, upper",1,CSP resource potential category
solar_csp_pot4,renewable formulation,"activity, upper",1,CSP resource potential category
solar_csp_pot5,renewable formulation,"activity, upper",1,CSP resource potential category
solar_csp_pot6,renewable formulation,"activity, upper",1,CSP resource potential category
solar_csp_pot7,renewable formulation,"activity, upper",1,CSP resource potential category
solar_curtailment_1,renewable formulation,"activity, total_capacity",2,electricity systems integration constraint (curtailment)
solar_curtailment_2,renewable formulation,"activity, total_capacity",2,electricity systems integration constraint (curtailment)
solar_curtailment_3,renewable formulation,"activity, total_capacity",2,electricity systems integration constraint (curtailment)
solar_pot,renewable formulation,"activity, upper",1,solar PV resource potential
solar_pot2,renewable formulation,"activity, upper",1,solar PV resource potential
solar_pot3,renewable formulation,"activity, upper",1,solar PV resource potential
solar_pot4,renewable formulation,"activity, upper",1,solar PV resource potential
solar_pot5,renewable formulation,"activity, upper",1,solar PV resource potential
solar_pot6,renewable formulation,"activity, upper",1,solar PV resource potential
solar_pot7,renewable formulation,"activity, upper",1,solar PV resource potential
solar_pot8,renewable formulation,"activity, upper",1,solar PV resource potential
solar_pot_hist_2010,,,,
solar_pot_hist_2015,,,,
solar_pot_hist_2020,,,,
solar_ppl_res,renewable formulation,"total_capacity, lower, upper",1,
solar_res_cv,renewable formulation,"activity, lower, upper",1,balances the solar_res and solar_cv technologies
solar_step,renewable formulation,"activity, lower",1,first step of solar PV generation is limited to a certain fraction of load (higher steps have worse oper and resm).
solar_step2,renewable formulation,"activity, lower",1,second step of solar PV generation is limited to a certain fraction of load (higher steps have worse oper and resm).
solar_step3,renewable formulation,"activity, lower",1,third step of solar PV generation is limited to a certain fraction of load (higher steps have worse oper and resm).
solar_th_pot',,,,
syn_liq_exp,share-constraint formulation,"activity, upper",1,R11-FSU only - constraints the export of synthetic liquids to x% of indigenous oil use.
total_TCO2,removed,activity,1,Total CO2 emissions including feedstocks
trp_energy,removed,activity,1,"limits total final energy in transport, if necessary (inactive as set to free)"
unabated_coal_lim,share-constraint formulation,"activity, upper",1,"R11-PAO, R11-NAM, R11-WEU only - Limits unabated coal power plants to present share."
wind_curtailment_1,renewable formulation,"activity, total_capacity",2,electricity systems integration constraint (curtailment)
wind_curtailment_2,renewable formulation,"activity, total_capacity",2,electricity systems integration constraint (curtailment)
wind_curtailment_3,renewable formulation,"activity, total_capacity",2,electricity systems integration constraint (curtailment)
wind_pof,renewable formulation,"activity, upper",1,offshore wind resource potential
wind_pof2,renewable formulation,"activity, upper",1,offshore wind resource potential
wind_pof3,renewable formulation,"activity, upper",1,offshore wind resource potential
wind_pof4,renewable formulation,"activity, upper",1,offshore wind resource potential
wind_pof5,renewable formulation,"activity, upper",1,offshore wind resource potential
wind_pot,renewable formulation,"activity, upper",1,onshore wind resource potential
wind_pot2,renewable formulation,"activity, upper",1,onshore wind resource potential
wind_pot3,renewable formulation,"activity, upper",1,onshore wind resource potential
wind_pot4,renewable formulation,"activity, upper",1,onshore wind resource potential
wind_pot_hist_2005,,,,
wind_pot_hist_2010,,,,
wind_pot_hist_2015,,,,
wind_pot_hist_2020,,,,
wind_ppl_offshore_res,renewable formulation,"total_capacity, lower, upper",1,
wind_ppl_res,renewable formulation,"total_capacity, lower, upper",1,
wind_res_cv,renewable formulation,"activity, lower, upper",1,balances the wind_res and wind_cv technologies
wind_step,renewable formulation,"activity, lower",1,first step of wind generation is limited to a certain fraction of load (higher steps have worse oper and resm).
wind_step2,renewable formulation,"activity, lower",1,second step of wind generation is limited to a certain fraction of load (higher steps have worse oper and resm).
wind_step3,renewable formulation,"activity, lower",1,third step of wind generation is limited to a certain fraction of load (higher steps have worse oper and resm).
FE_electricity,removed,,1,final energy accounting equation
cement_pro,,"activity, lower, upper",1,relation for cement production linked to ind thermal
cement_scrub_lim,,"activity, upper",1,Constraint limiting cement scrubber activity to cement CO2 production
min-liquids_res_com,share-constraint formulation,"activity, lower",1,
weight_ind,,"activity, cost",1,"Weight factor representing costs, inconvenience, etc  in lieu of end-use technology costs in industries."
weight_rc,,"activity, cost",1,inconvenience costs for residential and commercial sector
weight_trp,,"activity, cost",1,inconvenience costs for transport sector
biomass,,,,
coal,,,,
crude_1,,,,Crude oil resource.
crude_2,,,,Crude oil resource.
crude_3,,,,Crude oil resource.
Oil|Conventional,,,,Reporting aggregate for oil resources.
crude_4,,,,Crude oil resource.
crude_5,,,,Crude oil resource.
crude_6,,,,Crude oil resource.
crude_7,,,,Crude oil resource.
crude_8,,,,Crude oil resource.
Oil|Unconventional,,,,Reporting aggregate for oil resources.
Oil,,,,Reporting aggregate for oil resources.
crudeoil,,,,"For secondary energy, use 'fueloil', 'lightoil', etc."
d_heat,,,,FIXME provide an unambiguous description of what this commodity represents.
electr,,,,
ethanol,,,,
freshwater_supply,,,,FIXME provide an unambiguous description of what this commodity represents.
fueloil,,,,Heavy fuel oil
gas,,,,
